Ingredients,A,B,C,D,E,Total Magimin,Price (Quinn),Value,Taste,Touch,Smell,Sight,Sound,Type,Rarity,Location,
Fairy Flower Bulb,4,0,0,0,0,4,14,0.286,,,Good,,,Flower,Common,Enchanted Forest,#N/A
Impstool Mushroom,0,4,0,0,0,4,17,0.235,,Good,,,,Fungus,Common,Enchanted Forest,
Rotfly Larva,0,0,4,0,0,4,10,0.400,Good,,,,,Bug,Common,Enchanted Forest,
Feyberry,6,0,0,0,0,6,4,1.500,,,,,,Fruit,Common,Enchanted Forest,
Mandrake Root,0,6,0,0,0,6,4,1.500,,,,,,Plant,Common,Enchanted Forest,
Sack of Slime,0,0,6,0,0,6,7,0.857,,,,,,Slime,Common,Enchanted Forest,
Kappa Pheromones,4,0,4,0,0,8,13,0.615,,,,,,Essences,Uncommon,Enchanted Forest,
Pixiedust Diamond,0,4,4,0,0,8,14,0.571,,,,,,Gem,Uncommon,Enchanted Forest,
River Calamari,8,0,0,0,0,8,5,1.600,,Bad,,,,Fish,Common,Enchanted Forest,
River-Pixie's Shell,4,4,0,0,0,8,11,0.727,,,,,,Mineral,Uncommon,Enchanted Forest,
Serpent's Slippery Tongue,0,8,0,0,0,8,6,1.333,,,Bad,,,Flesh,Common,Enchanted Forest,
Unicorn Horn,0,0,8,0,0,8,6,1.333,Bad,,,,,Bone,Common,Enchanted Forest,
Cubic Ooze,3,3,3,0,0,9,16,0.563,,,,,,Slime,Rare,Enchanted Forest,
Desert Metal,0,12,0,0,0,12,25,0.480,,Good,,,,Ores,Common,Bone Wastes,
Fairy Flower Bud,12,0,0,0,0,12,23,0.522,,,Good,,,Flower,Common,Bone Wastes,
Murkwater Pearl,0,0,0,12,0,12,27,0.444,,,,Good,,Gem,Uncommon,Mushroom Mire,
Rotfly Cocoon,0,0,12,0,0,12,25,0.480,Good,,,,,Bug,Uncommon,Bone Wastes,
Trollstool Mushroom,0,12,0,0,0,12,20,0.600,,Good,,,,Fungus,Common,Mushroom Mire,
Wraith Orchid,0,0,0,12,0,12,19,0.632,,,,,,Flower,Common,Mushroom Mire,
Crocodile Tooth,6,0,12,0,0,18,20,0.900,,,,,,Bone,Common,Bone Wastes,
Glass Ore,0,0,0,18,0,18,24,0.750,,,,,,Ores,Common,Bone Wastes,
Horned Jelly,18,0,0,0,0,18,20,0.900,,Bad,,Good,,Slime,Uncommon,Bone Wastes,
Manwyrm Root,0,18,0,0,0,18,14,1.286,,,,,,Plant,Common,Bone Wastes,
Puckberry,18,0,0,0,0,18,16,1.125,,,,,,Fruit,Common,Mushroom Mire,
Sack of Hive Slime,0,0,18,0,0,18,21,0.857,,,,,,Slime,Common,Mushroom Mire,
Sphinx Flea,12,6,0,0,0,18,35,0.514,,Good,,,,Bug,Rare,Bone Wastes,
Swamp Fish,12,0,0,6,0,18,22,0.818,,,,,,Fish,Common,Mushroom Mire,
Fairy Flower Bloom,20,0,0,0,0,20,35,0.571,,,Good,,,Flower,Common,Storm Plains,
Giantstool Mushroom,0,20,0,0,0,20,80,0.250,,Good,,,,Fungus,Common,Shadow Steppe,
Rotfly Adult,0,0,20,0,0,20,38,0.526,Good,,,,,Bug,Uncommon,Ocean Coasts,
Shadowveil Pearl,0,0,0,20,0,20,38,0.526,,,,Good,,Gem,Uncommon,Storm Plains,
Figment Pomme,0,18,6,0,0,24,26,0.923,,,,,,Fruit,Uncommon,Bone Wastes,
Ghostlight Bloom,18,0,0,6,0,24,28,0.857,,,,,,Flower,Uncommon,Mushroom Mire,
Golem's-Eye Diamond,0,12,12,0,0,24,28,0.857,,,,,,Gem,Uncommon,Bone Wastes,
Leech Snail's Shell,12,12,0,0,0,24,26,0.923,,,,,,Mineral,Uncommon,Bone Wastes,
Miasma Spore,0,18,0,6,0,24,30,0.800,,,,,,Fungus,Uncommon,Mushroom Mire,
Qilin's Tri-Horn,0,0,24,0,0,24,18,1.333,Bad,,,,,Bone,Common,Mushroom Mire,
Salamander's Fiery Tongue,0,24,0,0,0,24,22,1.091,,,Bad,,,Flesh,Common,Bone Wastes,
Swamp Octopus,24,0,0,0,0,24,18,1.333,,Bad,,,,Fish,Common,Mushroom Mire,
Warg Pheromones,12,0,12,0,0,24,26,0.923,,,,,,,,,
Bog Beet,0,27,0,0,0,27,27,1.000,Bad,,,,Good,Plant,Rare,Mushroom Mire,
Hydra Vertebra,9,9,9,0,0,27,35,0.771,,,,,,Bone,Common,Mushroom Mire,
Antlered Jelly,30,0,0,0,0,30,28,1.071,,Bad,,Good,,Slime,Uncommon,Shadow Steppe,
Bogeyberry,30,0,0,0,0,30,30,1.000,,,,,,Fruit,Common,Shadow Steppe,
Cobweb Crayfish,10,0,20,0,0,30,48,0.625,,,Good,,,Fish,Rare,Storm Plains,
Electrocution Eel,10,10,10,0,0,30,45,0.667,,,,Good,,Fish,Uncommon,Shadow Steppe,
Fulgurite Ore,0,0,0,30,0,30,40,0.750,,,,,,Ores,Uncommon,Shadow Steppe,
Hallucinatory Shroom,0,0,30,0,0,30,18,1.667,Good,,,,Bad,Fungus,Rare,Storm Plains,
Mandragon Root,0,30,0,0,0,30,34,0.882,,,,,,Plant,Common,Ocean Coasts,
Moss Berries,0,10,0,20,0,30,35,0.857,,,,,,Fruit,Common,Mushroom Mire,
Reef Radish,0,30,0,0,0,30,32,0.938,Bad,,,,Good,Plant,Rare,Ocean Coasts,
Sack of Composite Slime,0,0,30,0,0,30,18,1.667,,,,,,Slime,Common,Storm Plains,
Selkie Lice,10,20,0,0,0,30,50,0.600,,Good,,,,Bug,Rare,Ocean Coasts,
Static Spiderling,0,0,0,0,30,30,50,0.600,,,,Bad,Good,Bug,Rare,Shadow Steppe,
Crag Crab,0,0,0,0,32,32,75,0.427,,,Good,,,Fish,Rare,Crystalline Forest,
Lustrous Pearl,0,0,0,32,0,32,60,0.533,,,,Good,,Gem,Common,Ice Craggs,
Frog Leg,0,0,24,12,0,36,33,1.091,,,,Bad,,Flesh,Epic,Bone Wastes,
Banshee's Bloody Tongue,0,40,0,0,0,40,32,1.250,,,Bad,,,Flesh,Common,Storm Plains,
Barghast Canine,0,30,0,0,10,40,110,0.364,,,,,,Bone,Rare,Storm Plains,
Dwarf Kraken,40,0,0,0,0,40,30,1.333,,Bad,,,,Fish,Common,Ocean Coasts,
Golemite,18,12,0,10,0,40,38,1.053,,,,,,Mineral,Rare,Bone Wastes,
Nessie Pheromones,20,0,20,0,0,40,50,0.800,,,,,,Essences,Common,Ocean Coasts,
Phantom Pomme,0,10,30,0,0,40,64,0.625,Good,,,,Bad,Fruit,Epic,Ocean Coasts,
Photonic Spore,0,10,0,30,0,40,52,0.769,Bad,,Good,,,Fungus,Epic,Storm Plains,
Raiju Droppings,0,0,30,10,0,40,55,0.727,,,,,,Essences,Uncommon,Shadow Steppe,
Raven's Shadow,0,10,12,18,0,40,52,0.769,,,,,,,,,
Saltwatermelon,0,0,0,40,0,40,44,0.909,,,,Bad,,Fruit,Uncommon,Ocean Coasts,
Sea Salt,30,0,0,0,10,40,55,0.727,,,,,,Mineral,Uncommon,Ocean Coasts,
Slapping Turtle's Shell,20,20,0,0,0,40,92,0.435,,,,,,Mineral,Common,Shadow Steppe,
Spider's-Bait Diamond,0,20,20,0,0,40,50,0.800,,,,,,Gem,Uncommon,Storm Plains,
Spriggan Antler,0,0,40,0,0,40,38,1.053,Bad,,,,,Bone,Uncommon,Shadow Steppe,
Thunderbird's Molted Feather,0,0,30,0,10,40,60,0.667,,,,,,Flesh,Rare,Shadow Steppe,
Bubble Ooze,9,9,12,12,0,42,60,0.700,,,,,,Slime,Epic,Mushroom Mire,
Acid Rutabaga,0,48,0,0,0,48,54,0.889,Bad,,,,Good,Plant,Common,Sulfuric Falls,
Delirium Shroom,0,0,48,0,0,48,63,0.762,Good,,,,Bad,Fungus,Common,Ice Craggs,
Feathered Gelatin,0,0,0,48,0,48,62,0.774,,Good,Bad,,,Slime,Uncommon,Crystalline Forest,
Sepulcher Widow,0,0,0,0,48,48,82,0.585,,,,Bad,Good,Bug,Uncommon,Crystalline Forest,
Courtier's Orchid,8,24,24,0,0,56,72,0.778,,,Good,,,Flower,Epic,Crystalline Forest,
Abyssalite,30,20,0,0,10,60,79,0.759,,,,,,Mineral,Uncommon,Ocean Coasts,
Copper Dollop,15,15,15,15,0,60,95,0.632,,,,,,Slime,Rare,Shadow Steppe,
Dropspider's Shadow,0,0,30,20,10,60,90,0.667,,,,,,Essences,Rare,Storm Plains,
Fire Flower,40,0,0,20,0,60,55,1.091,,,Bad,,,Flower,Rare,Shadow Steppe,
Malachite Ore,30,10,0,0,20,60,93,0.645,,,,,,Ores,Rare,Ocean Coasts,
Mosquito Plant,10,0,20,0,30,60,105,0.571,,,,,,Plant,Epic,Storm Plains,
Thunder Quartz,30,10,20,0,0,60,144,0.417,,,,,,Gem,Uncommon,Shadow Steppe,
Daredevil Pepper,0,32,0,32,0,64,90,0.711,,,,,,Plant,Common,Ice Craggs,
Geode Citrus,0,16,0,0,48,64,94,0.681,,,,,,Fruit,Uncommon,Ice Craggs,
Griffin's-Whetstone Diamond,0,32,32,0,0,64,86,0.744,,,,,,Gem,Common,Crystalline Forest,
Ogre's Shadow,32,0,32,0,0,64,74,0.865,,,,,,Essences,Common,Ice Craggs,
Owlbear Pheromones,0,0,0,0,64,64,90,0.711,,,Bad,,,Essences,Uncommon,Ice Craggs,
Shelled Pudding,32,0,0,32,0,64,90,0.711,,,,,,Slime,Common,Sulfuric Falls,
Silver Stag Antler,0,0,64,0,0,64,72,0.889,Bad,,,,,Bone,Common,Crystalline Forest,
Squid Vine,20,20,15,0,15,70,135,0.519,,,,,,Plant,Rare,Ocean Coasts,
Mote of Mana,15,15,15,15,15,75,130,0.577,,,,,,Pure Mana,Epic,Storm Plains,
Body Snatcher's Sloughed Skin,0,0,0,66,22,88,132,0.667,,,,,,Flesh,Rare,???,
Acid Pitfall Plant,16,0,40,0,40,96,145,0.662,,,,,,Plant,Uncommon,Sulfuric Falls,
Bioplasm,0,48,32,16,0,96,125,0.768,,,,Bad,Good,Essences,Rare,Sulfuric Falls,
Chimera Waste,0,0,64,32,0,96,118,0.814,,,Bad,,,Essences,Common,Ice Craggs,
Silver Dollop,24,24,24,24,0,96,138,0.696,,,,,,Slime,Epic,Ice Craggs,
Supernalite,48,32,0,16,0,96,134,0.716,Bad,,,Good,,Mineral,Rare,Crystalline Forest,
Ember of Mana,24,24,24,24,24,120,165,0.727,,,,,,Pure Mana,Epic,Crystalline Forest,
Death's Embrace,33,33,33,0,33,132,196,0.673,,,,,,,,,
Hoarite,55,55,0,22,0,132,167,0.790,,,,,,,,,
Xenoplasm,0,55,55,22,0,132,83,1.590,,,,Bad,Good,Essences,Rare,,
Lazuli Ore,64,48,0,0,32,144,174,0.828,,,,,Bad,Ores,Rare,Ice Craggs,
Pegasus Mite,96,48,0,0,0,144,134,1.075,,Bad,,,Bad,Bug,Uncommon,Ice Craggs,
Poison Quartz,64,48,0,32,0,144,185,0.778,,,,,Bad,Gem,Rare,Sulfuric Falls,
Mana Blaze,50,40,30,20,10,150,234,0.641,,,,,,,,,
Arcane Truffle,0,42,42,42,42,168,236,0.712,,,,,,,,,
Ectoplasm,0,70,70,28,0,168,226,0.743,,,,Bad,Good,Essences,Rare,???,
Nuclear Shadow,0,70,70,28,0,168,228,0.737,,Good,,,,Essences,Rare,???,
Orchid of the Witch Queen,28,70,0,70,0,168,248,0.677,,,Good,,,Flower,Rare,???,
Sorcerite,70,70,0,28,0,168,232,0.724,Bad,,,Good,,Mineral,Rare,???,
Shallow Grave Enoki,32,64,64,32,0,192,100,1.920,,Bad,Bad,,,Fungus,Rare,Ice Craggs,
Mana Heart,28,28,28,98,28,210,450,0.467,,,,,,Pure Mana,Epic,???,
Mana Maelstrom,98,28,28,28,28,210,375,0.560,,,,Good,Good,Pure Mana,Epic,???,
Mana Prism,28,28,98,28,28,210,425,0.494,,Good,,Good,,Pure Mana,Epic,???,
Mana Singularity,28,28,28,28,98,210,475,0.442,,,Good,,Good,Pure Mana,Epic,???,
Mana Vortex,28,98,28,28,28,210,400,0.525,Good,,,,Good,Pure Mana,Epic,???,
Underworld Pomegranate,28,28,28,140,0,224,332,0.675,,,,,,,,,
Mass Grave Enoki,56,112,112,56,0,336,386,0.870,,,,,,,,,
Dragonfire Pearl,0,0,0,44,0,44,76,0.579,,,,Good,,Gem,Rare,,